iter,firing_rate,mean_abs_dW
0,4.2968750335603545e-07,0.2683142125606537
1,1.56249996052793e-07,0.07047044485807419
2,0.0,1.102497390093049e-05
3,0.0,1.1013993571395986e-05
4,0.0,1.1002947758242954e-05
5,0.0,1.0991990166075993e-05
6,0.0,1.0980929801007733e-05
7,0.0,1.0969893082801718e-05
8,0.0,1.0958949133055285e-05
9,6.510416650229445e-09,0.0028224799316376448
10,0.0,8.125572094286326e-06
11,0.0,8.117403922369704e-06
12,0.0,8.109295777103398e-06
13,0.0,8.101276762317866e-06
14,0.0,8.093066753644962e-06
15,0.0,8.085075023700483e-06
16,0.0,8.07686592452228e-06
17,0.0,8.068916031334084e-06
18,0.0,8.06085517979227e-06
19,0.0,8.052696102822665e-06
20,0.0,8.04473711468745e-06
21,0.0,8.036677172640339e-06
22,0.0,8.028619959077332e-06
23,0.0,8.020568202482536e-06
24,0.0,8.012605576368514e-06
25,0.0,8.004525625437964e-06
26,0.0,7.996655767783523e-06
27,0.0,7.988599463715218e-06
28,6.510416650229445e-09,0.00212864950299263
29,0.0,5.851930382050341e-06
30,0.0,5.846081421623239e-06
31,0.0,5.84022836846998e-06
32,0.0,5.834434432472335e-06
33,0.0,5.828548182762461e-06
34,0.0,5.822759703733027e-06
35,0.0,5.816915745526785e-06
36,0.0,5.81108542974107e-06
37,0.0,5.805301498185145e-06
38,0.0,5.7994666349259205e-06
39,0.0,5.793636319140205e-06
40,0.0,5.787940153823001e-06
41,0.0,5.782128937426023e-06
42,0.0,5.776298621640308e-06
43,0.0,5.77053879169398e-06
44,0.0,5.764820343756583e-06
45,0.0,5.7589527386880945e-06
46,0.0,5.753242930950364e-06
47,0.0,5.7474499044474214e-06
48,0.0,5.741801487602061e-06
49,0.0,5.7359061429451685e-06
50,0.0,5.730280918214703e-06
51,0.0,5.724525635741884e-06
52,0.0,5.7188117352779955e-06
53,0.0,5.713121481676353e-06
54,0.0,5.7073284551734105e-06
55,0.0,5.701650934497593e-06
56,0.0,5.695960680895951e-06
57,0.0,5.69031226405059e-06
58,0.0,5.684533334715525e-06
59,0.0,5.678922207152937e-06
60,0.0,5.673268788086716e-06
61,0.0,5.667624918714864e-06
62,0.0,5.661990599037381e-06
63,0.0,5.6562162171758246e-06
64,0.0,5.650544608215569e-06
65,0.0,5.6449052863172255e-06
66,0.0,5.639247774524847e-06
67,0.0,5.633603905152995e-06
68,0.0,5.627974132949021e-06
69,0.0,5.622292974294396e-06
70,0.0,5.61677006771788e-06
71,0.0,5.611154392681783e-06
72,0.0,5.605510523309931e-06
73,0.0,5.599918040388729e-06
74,0.0,5.594320555246668e-06
75,0.0,5.5887467169668525e-06
76,0.0,5.583117399510229e-06
77,0.0,5.577552656177431e-06
78,0.0,5.572007012233371e-06
79,0.0,5.566447271121433e-06
80,0.0,5.5608456932532135e-06
81,0.0,5.5552945923409425e-06
82,0.0,5.5497580433439e-06
83,0.0,5.544240593735594e-06
84,0.0,5.538573532248847e-06
85,0.0,5.533073817787226e-06
86,0.0,5.527551365958061e-06
87,0.0,5.522043011296773e-06
88,0.0,5.516478267963976e-06
89,0.0,5.510984010470565e-06
90,0.0,5.505489298229804e-06
91,0.0,5.499990038515534e-06
92,0.0,5.4944816838542465e-06
93,0.0,5.488935585162835e-06
94,0.0,5.483473614731338e-06
95,0.0,5.47796526007005e-06
96,0.0,5.47252238902729e-06
97,0.0,5.467092705657706e-06
98,0.0,5.461635282699717e-06
99,0.0,5.456146027427167e-06
100,0.0,5.450674507301301e-06
101,0.0,5.445217084343312e-06
102,0.0,5.4398492466134485e-06
103,0.0,5.4343868214346e-06
104,0.0,5.428883014246821e-06
105,0.0,5.423524271463975e-06
106,0.0,5.418010914581828e-06
107,0.0,5.4126371651364025e-06
108,0.0,5.407273420132697e-06
109,0.0,5.401755970524391e-06
110,0.0,5.3964517974236514e-06
111,0.0,5.3910134738544e-06
112,0.0,5.385579697758658e-06
113,0.0,5.38022004548111e-06
114,0.0,5.374842203309527e-06
115,0.0,5.36948300577933e-06
116,0.0,5.364058324630605e-06
117,0.0,5.358755515771918e-06
118,0.0,5.353353571990738e-06
119,0.0,5.348060312826419e-06
120,0.0,5.342709755495889e-06
121,0.0,5.337276434147498e-06
122,0.0,5.332047294359654e-06
123,0.0,5.326618065737421e-06
124,0.0,5.3213757382764015e-06
125,0.0,5.3160206334723625e-06
126,0.0,5.310680535330903e-06
127,0.0,5.305400009092409e-06
128,0.0,5.300050816003932e-06
129,0.0,5.294849870551843e-06
130,0.0,5.289471573632909e-06
131,0.0,5.284233338898048e-06
132,0.0,5.278972366795642e-06
133,0.0,5.273617261991603e-06
134,0.0,5.268340373731917e-06
135,0.0,5.26315579918446e-06
136,0.0,5.257850261841668e-06
137,0.0,5.252586561255157e-06
138,0.0,5.247311037237523e-06
139,0.0,5.242089173407294e-06
140,0.0,5.2368113756529056e-06
141,0.0,5.2316368055471685e-06
142,0.0,5.22628715771134e-06
143,0.0,5.221153514867183e-06
144,0.0,5.215841156314127e-06
145,0.0,5.2107452575000934e-06
146,0.0,5.205505203775829e-06
147,0.0,5.200258328841301e-06
148,0.0,5.195101039134897e-06
149,0.0,5.189900093682809e-06
150,0.0,5.18467868459993e-06
151,0.0,5.179505933483597e-06
152,0.0,5.174322268430842e-06
153,0.0,5.16919135407079e-06
154,0.0,5.164015874470351e-06
155,0.0,5.158814929018263e-06
156,0.0,5.1536489991121925e-06
157,0.0,5.148523541720351e-06
158,0.0,5.1433394219202455e-06
159,0.0,5.138245796842966e-06
160,0.0,5.133100785315037e-06
161,0.0,5.127986696606968e-06
162,0.0,5.122851689520758e-06
163,0.0,5.11774851474911e-06
164,0.0,5.1125825848430395e-06
165,0.0,5.107475317345234e-06
166,0.0,5.102396244183183e-06
167,0.0,5.09726987729664e-06
168,0.0,5.092178980703466e-06
169,0.0,5.087080353405327e-06
170,0.0,5.0820058277167846e-06
171,0.0,5.076912657386856e-06
172,0.0,5.071833129477454e-06
