iter,firing_rate,mean_abs_dW
0,8.78906234902388e-07,0.3470272719860077
1,0.0,7.12089232024482e-08
2,0.0,7.113906974609563e-08
3,0.0,7.106922339517041e-08
4,0.0,7.099471588389861e-08
5,0.0,7.092486953297339e-08
6,0.0,7.085502318204817e-08
7,0.0,7.07851697256956e-08
8,0.0,7.071066221442379e-08
9,0.0,7.064081586349857e-08
10,0.0,7.057096951257336e-08
11,0.0,7.050111605622078e-08
12,0.0,7.043126970529556e-08
13,0.0,7.036141624894299e-08
14,0.0,7.028691584309854e-08
15,0.0,7.021706238674597e-08
16,0.0,7.014721603582075e-08
17,0.0,7.007736257946817e-08
18,0.0,7.000751622854295e-08
19,0.0,6.993766987761774e-08
20,0.0,6.986781642126516e-08
21,0.0,6.979797007033994e-08
22,0.0,6.972811661398737e-08
23,0.0,6.965827026306215e-08
24,0.0,6.958842391213693e-08
25,0.0,6.951857045578436e-08
26,0.0,6.944872410485914e-08
27,0.0,6.937887064850656e-08
28,0.0,6.931367835250057e-08
29,0.0,6.924383200157536e-08
30,0.0,6.917398565065014e-08
31,0.0,6.910413219429756e-08
32,0.0,6.903428584337234e-08
33,0.0,6.896443238701977e-08
34,0.0,6.889458603609455e-08
35,0.0,6.882939374008856e-08
36,0.0,6.875954738916334e-08
37,0.0,6.868969393281077e-08
38,0.0,6.861984758188555e-08
39,0.0,6.855465528587956e-08
40,0.0,6.848480182952699e-08
41,0.0,6.841495547860177e-08
42,0.0,6.834976318259578e-08
43,0.0,6.82799097262432e-08
44,0.0,6.821006337531799e-08
45,0.0,6.8144871079312e-08
46,0.0,6.807502472838678e-08
47,0.0,6.80051712720342e-08
48,0.0,6.793997897602821e-08
49,0.0,6.7870132625103e-08
50,0.0,6.780494032909701e-08
51,0.0,6.773508687274443e-08
52,0.0,6.766524052181921e-08
53,0.0,6.760004822581323e-08
54,0.0,6.753020187488801e-08
55,0.0,6.746500247345466e-08
56,0.0,6.739515612252944e-08
57,0.0,6.732996382652345e-08
