iter,firing_rate,mean_abs_dW
0,4.2968750335603545e-07,0.34719642996788025
1,0.0,4.5997499000804964e-06
2,0.0,4.595162863552105e-06
3,0.0,4.590604021359468e-06
4,0.0,4.585978786053602e-06
5,0.0,4.581390385283157e-06
6,0.0,4.576812898449134e-06
7,0.0,4.572226316668093e-06
8,0.0,4.567642463371158e-06
9,0.0,4.563102720567258e-06
10,0.0,4.5585306907014456e-06
11,0.0,4.553967755782651e-06
12,0.0,4.549419827526435e-06
13,0.0,4.54486689704936e-06
14,0.0,4.540324880508706e-06
15,0.0,4.535768312052824e-06
16,0.0,4.531209015112836e-06
17,0.0,4.5267165660334285e-06
18,0.0,4.522187282418599e-06
19,0.0,4.517672095971648e-06
20,0.0,4.513137355388608e-06
21,0.0,4.508647180045955e-06
22,0.0,4.504131538851652e-06
23,0.0,4.499618626141455e-06
24,0.0,4.495111625146819e-06
25,0.0,4.4906410039402544e-06
26,0.0,4.486127636482706e-06
27,0.0,4.4816488298238255e-06
28,0.0,4.477143193071242e-06
29,0.0,4.47266347691766e-06
30,0.0,4.468222414288903e-06
31,0.0,4.463779077923391e-06
32,0.0,4.459252522792667e-06
33,0.0,4.454854206414893e-06
34,0.0,4.450397682376206e-06
35,0.0,4.445919330464676e-06
36,0.0,4.441477358341217e-06
37,0.0,4.437004463397898e-06
38,0.0,4.432608420756878e-06
39,0.0,4.4281778173171915e-06
40,0.0,4.423741302161943e-06
41,0.0,4.419316155690467e-06
42,0.0,4.4149041968921665e-06
43,0.0,4.410492238093866e-06
44,0.0,4.406086645758478e-06
45,0.0,4.401670139486669e-06
46,0.0,4.3972809180559125e-06
47,0.0,4.392863502289401e-06
48,0.0,4.388491561257979e-06
49,0.0,4.384060957818292e-06
50,0.0,4.379660367703764e-06
51,0.0,4.375318894744851e-06
52,0.0,4.370964234112762e-06
53,0.0,4.366578650660813e-06
54,0.0,4.362208528618794e-06
55,0.0,4.357869329396635e-06
56,0.0,4.353491476649651e-06
57,0.0,4.349121809354983e-06
58,0.0,4.3447589632705785e-06
59,0.0,4.340410214354051e-06
60,0.0,4.336060555942822e-06
61,0.0,4.331736363383243e-06
62,0.0,4.327436727180611e-06
63,0.0,4.323104349168716e-06
64,0.0,4.318781520851189e-06
65,0.0,4.314455509302206e-06
66,0.0,4.310146323405206e-06
67,0.0,4.305821221350925e-06
68,0.0,4.3015379560529254e-06
69,0.0,4.297224677429767e-06
70,0.0,4.292937774152961e-06
71,0.0,4.288649506634101e-06
72,0.0,4.2843830669880845e-06
73,0.0,4.280090706743067e-06
74,0.0,4.275825176591752e-06
75,0.0,4.271546458767261e-06
76,0.0,4.267243639333174e-06
77,0.0,4.262987658876227e-06
78,0.0,4.258730314177228e-06
79,0.0,4.254446139384527e-06
80,0.0,4.2502092583163176e-06
81,0.0,4.245958734827582e-06
82,0.0,4.241692295181565e-06
83,0.0,4.2374804252176546e-06
84,0.0,4.233205800119322e-06
85,0.0,4.228978468745481e-06
86,0.0,4.22478160544415e-06
87,0.0,4.2205260797345545e-06
88,0.0,4.216342404106399e-06
89,0.0,4.212089606880909e-06
90,0.0,4.207905021758052e-06
91,0.0,4.203658136248123e-06
92,0.0,4.199491741019301e-06
93,0.0,4.195253040961688e-06
94,0.0,4.191080279269954e-06
95,0.0,4.18688705394743e-06
96,0.0,4.182696557109011e-06
97,0.0,4.178531071374891e-06
98,0.0,4.174333298578858e-06
99,0.0,4.17020464738016e-06
100,0.0,4.165989139437443e-06
101,0.0,4.161854576523183e-06
102,0.0,4.157653620495694e-06
103,0.0,4.153530881012557e-06
104,0.0,4.149324922764208e-06
105,0.0,4.1452299228694756e-06
106,0.0,4.141075805819128e-06
107,0.0,4.136926236242289e-06
108,0.0,4.132783487875713e-06
109,0.0,4.128650289203506e-06
110,0.0,4.124492988921702e-06
111,0.0,4.120384801353794e-06
112,0.0,4.116288437217008e-06
113,0.0,4.112173428438837e-06
114,0.0,4.108043867745437e-06
115,0.0,4.103965238755336e-06
116,0.0,4.0998415897774976e-06
117,0.0,4.095725671504624e-06
118,0.0,4.091654318472138e-06
119,0.0,4.08755158787244e-06
120,0.0,4.083466592419427e-06
121,0.0,4.079397058376344e-06
122,0.0,4.075303877471015e-06
123,0.0,4.0712316149438266e-06
124,0.0,4.067137524543796e-06
125,0.0,4.0631125557411e-06
126,0.0,4.059005277667893e-06
127,0.0,4.054976216139039e-06
128,0.0,4.050931238452904e-06
129,0.0,4.046860340167768e-06
130,0.0,4.0428139982395805e-06
131,0.0,4.038775841763709e-06
132,0.0,4.034716766909696e-06
133,0.0,4.0307022572960705e-06
134,0.0,4.026662281830795e-06
135,0.0,4.022621396870818e-06
136,0.0,4.018611889478052e-06
137,0.0,4.014605110569391e-06
138,0.0,4.010576958535239e-06
139,0.0,4.006593371741474e-06
140,0.0,4.00255930799176e-06
141,0.0,3.998598458565539e-06
142,0.0,3.994540747953579e-06
143,0.0,3.990579898527358e-06
144,0.0,3.986592673754785e-06
145,0.0,3.98260408474016e-06
146,0.0,3.978625500167254e-06
147,0.0,3.9746196307532955e-06
148,0.0,3.970659236074425e-06
149,0.0,3.966682015743572e-06
150,0.0,3.962717073591193e-06
151,0.0,3.958788511226885e-06
152,0.0,3.95481538362219e-06
153,0.0,3.9508358895545825e-06
154,0.0,3.946896868001204e-06
155,0.0,3.942961029679282e-06
156,0.0,3.938992904295446e-06
157,0.0,3.935062068194384e-06
158,0.0,3.931103037757566e-06
159,0.0,3.927175839635311e-06
160,0.0,3.9232832023117226e-06
161,0.0,3.919349182979204e-06
162,0.0,3.91543835576158e-06
163,0.0,3.911525254807202e-06
164,0.0,3.9076066968846135e-06
165,0.0,3.90373179470771e-06
166,0.0,3.899785042449366e-06
167,0.0,3.895864210790023e-06
168,0.0,3.892001586791594e-06
169,0.0,3.888102128257742e-06
170,0.0,3.88421767638647e-06
171,0.0,3.880340500472812e-06
172,0.0,3.876444679917768e-06
173,0.0,3.872586603392847e-06
174,0.0,3.86867941415403e-06
175,0.0,3.8648499867122155e-06
176,0.0,3.8609846342296805e-06
177,0.0,3.857124283968005e-06
178,0.0,3.853276211884804e-06
179,0.0,3.849388122034725e-06
180,0.0,3.84554323318298e-06
181,0.0,3.841709258267656e-06
182,0.0,3.8378902900149114e-06
183,0.0,3.834018571069464e-06
184,0.0,3.830222794931615e-06
185,0.0,3.826366082648747e-06
186,0.0,3.8225493881327566e-06
187,0.0,3.818726327153854e-06
188,0.0,3.814876436081249e-06
189,0.0,3.8110772493382683e-06
190,0.0,3.807268058153568e-06
191,0.0,3.8034497720218496e-06
192,0.0,3.7996924220351502e-06
193,0.0,3.795845941567677e-06
194,0.0,3.792049255935126e-06
195,0.0,3.7882789456489263e-06
196,0.0,3.7844879443582613e-06
197,0.0,3.7806928503414383e-06
198,0.0,3.7769245864183176e-06
199,0.0,3.773137450480135e-06
200,0.0,3.7693614558520494e-06
201,0.0,3.765615929296473e-06
202,0.0,3.76182083527965e-06
203,0.0,3.7580675780191086e-06
204,0.0,3.7543288726737956e-06
205,0.0,3.7505808450077893e-06
206,0.0,3.7467862057383172e-06
207,0.0,3.743058641703101e-06
208,0.0,3.73932880393113e-06
209,0.0,3.735594191311975e-06
210,0.0,3.73183911506203e-06
211,0.0,3.728105639311252e-06
212,0.0,3.724411499206326e-06
213,0.0,3.720650738614495e-06
214,0.0,3.7169595543673495e-06
215,0.0,3.713192427312606e-06
216,0.0,3.7095160223543644e-06
217,0.0,3.7057834560982883e-06
218,0.0,3.7020772651885636e-06
219,0.0,3.698386535688769e-06
220,0.0,3.694688757605036e-06
221,0.0,3.6910021208313992e-06
222,0.0,3.687286834974657e-06
223,0.0,3.683652494146372e-06
224,0.0,3.6799185636482434e-06
225,0.0,3.6762721720151603e-06
226,0.0,3.672580078273313e-06
227,0.0,3.668913677756791e-06
228,0.0,3.665221584014944e-06
229,0.0,3.66157223652408e-06
230,0.0,3.657913111965172e-06
231,0.0,3.654261718111229e-06
232,0.0,3.6506007745629176e-06
233,0.0,3.6469380120252026e-06
234,0.0,3.643283207566128e-06
235,0.0,3.6396477298694663e-06
236,0.0,3.636035216914024e-06
237,0.0,3.6323751828604145e-06
238,0.0,3.628735157690244e-06
239,0.0,3.6251410620025126e-06
240,0.0,3.6215003547113156e-06
241,0.0,3.6178846585244173e-06
242,0.0,3.6142462249699747e-06
243,0.0,3.610635985751287e-06
244,0.0,3.607020971685415e-06
245,0.0,3.6034450658917194e-06
246,0.0,3.599803221732145e-06
247,0.0,3.5962223137175897e-06
248,0.0,3.59261366611463e-06
249,0.0,3.58903298547375e-06
250,0.0,3.585441390896449e-06
251,0.0,3.5818775359075516e-06
252,0.0,3.578271389415022e-06
253,0.0,3.5747232232097303e-06
254,0.0,3.5711334476218326e-06
255,0.0,3.5675475373864174e-06
256,0.0,3.563994823707617e-06
257,0.0,3.5604305139713688e-06
258,0.0,3.556873025445384e-06
259,0.0,3.553296437530662e-06
260,0.0,3.549752818798879e-06
261,0.0,3.546191010173061e-06
262,0.0,3.5426746762823313e-06
263,0.0,3.5391224173508817e-06
264,0.0,3.535587438818766e-06
265,0.0,3.5320431379659567e-06
266,0.0,3.5285070225654636e-06
267,0.0,3.524972726154374e-06
268,0.0,3.521459802868776e-06
269,0.0,3.5179614314984065e-06
270,0.0,3.5144330468028784e-06
271,0.0,3.5109021609969204e-06
272,0.0,3.507404471747577e-06
273,0.0,3.503881771393935e-06
274,0.0,3.5003688481083373e-06
275,0.0,3.496883437037468e-06
276,0.0,3.493396206977195e-06
277,0.0,3.4898932881333167e-06
278,0.0,3.4863874134316575e-06
279,0.0,3.482932243059622e-06
280,0.0,3.4794286420947174e-06
281,0.0,3.4759634672809625e-06
282,0.0,3.4724616853054613e-06
283,0.0,3.4690012853388907e-06
284,0.0,3.4655492981983116e-06
285,0.0,3.4620722999534337e-06
286,0.0,3.458614401097293e-06
287,0.0,3.455143996689003e-06
288,0.0,3.45169269166945e-06
289,0.0,3.4482375212974148e-06
290,0.0,3.4447884900146164e-06
291,0.0,3.441338321863441e-06
292,0.0,3.437918394411099e-06
293,0.0,3.4344654977758182e-06
294,0.0,3.4310255614400376e-06
295,0.0,3.4276217775186524e-06
296,0.0,3.424174792598933e-06
297,0.0,3.4207262160634855e-06
298,0.0,3.4173251606262056e-06
299,0.0,3.413917056604987e-06
300,0.0,3.4105064514733385e-06
