iter,firing_rate,mean_abs_dW
0,8.138021030390519e-07,0.35020962357521057
1,0.0,3.6665122138401784e-07
2,0.0,3.662984795482771e-07
3,0.0,3.659218634766148e-07
4,0.0,3.6554993698700855e-07
5,0.0,3.6520125945571635e-07
6,0.0,3.648299014002987e-07
7,0.0,3.644486241682898e-07
8,0.0,3.6409997505870706e-07
9,0.0,3.637286170032894e-07
10,0.0,3.633799394719972e-07
11,0.0,3.6300858141657955e-07
12,0.0,3.6263196534491726e-07
13,0.0,3.622786550749879e-07
14,0.0,3.6191195817991684e-07
15,0.0,3.6155861948827805e-07
16,0.0,3.61191922593207e-07
17,0.0,3.608432450619148e-07
18,0.0,3.6046256468580395e-07
19,0.0,3.601139155762212e-07
20,0.0,3.5974255752080353e-07
21,0.0,3.5939387998951133e-07
22,0.0,3.5902718309444026e-07
23,0.0,3.586738444028015e-07
24,0.0,3.583071475077304e-07
25,0.0,3.5795906683233625e-07
26,0.0,3.5761038930104405e-07
27,0.0,3.572390312456264e-07
28,0.0,3.5689095057023223e-07
29,0.0,3.565236568192631e-07
30,0.0,3.5617557614386897e-07
31,0.0,3.558228343081282e-07
32,0.0,3.554555405571591e-07
33,0.0,3.5510745988176495e-07
34,0.0,3.547593792063708e-07
35,0.0,3.543920854554017e-07
36,0.0,3.540440047800075e-07
37,0.0,3.5369592410461337e-07
38,0.0,3.533245660491957e-07
39,0.0,3.5297648537380155e-07
40,0.0,3.526278362642188e-07
41,0.0,3.522611109474383e-07
42,0.0,3.519130302720441e-07
43,0.0,3.5156494959664997e-07
44,0.0,3.512168689212558e-07
45,0.0,3.508594659251685e-07
46,0.0,3.505113852497743e-07
47,0.0,3.5016330457438016e-07
48,0.0,3.498146554647974e-07
49,0.0,3.4946657478940324e-07
50,0.0,3.4912312685264624e-07
51,0.0,3.4875642995757516e-07
52,0.0,3.484176716028742e-07
53,0.0,3.4806959092748e-07
54,0.0,3.4772151025208586e-07
55,0.0,3.473734295766917e-07
56,0.0,3.4702534890129755e-07
57,0.0,3.466912232852337e-07
58,0.0,3.4632452639016265e-07
59,0.0,3.459770141489571e-07
60,0.0,3.4562893347356294e-07
61,0.0,3.4529017511886195e-07
62,0.0,3.4494672718210495e-07
63,0.0,3.445986465067108e-07
64,0.0,3.4425056583131664e-07
65,0.0,3.4391646863696224e-07
