iter,firing_rate,mean_abs_dW
0,1.028645783662796e-06,0.3510555922985077
1,0.0,2.234984037841059e-07
2,0.0,2.2327033377678163e-07
3,0.0,2.2306124947135686e-07
4,0.0,2.2283317946403258e-07
5,0.0,2.226050952458536e-07
6,0.0,2.2237702523852931e-07
7,0.0,2.2216794093310455e-07
8,0.0,2.2193987092578027e-07
9,0.0,2.2171178670760128e-07
10,0.0,2.2150271661303123e-07
11,0.0,2.2127463239485223e-07
12,0.0,2.2104656238752796e-07
13,0.0,2.208374780821032e-07
14,0.0,2.206094080747789e-07
15,0.0,2.2038132385659992e-07
16,0.0,2.2017225376202987e-07
17,0.0,2.1994416954385088e-07
18,0.0,2.1973509944928082e-07
19,0.0,2.1950702944195655e-07
20,0.0,2.1929794513653178e-07
21,0.0,2.190698751292075e-07
22,0.0,2.1886080503463745e-07
23,0.0,2.1863272081645846e-07
24,0.0,2.184236507218884e-07
25,0.0,2.1819556650370941e-07
26,0.0,2.1798649640913936e-07
27,0.0,2.1775841219096037e-07
28,0.0,2.1754934209639032e-07
29,0.0,2.1732127208906604e-07
30,0.0,2.17112201994496e-07
31,0.0,2.16884117776317e-07
32,0.0,2.1667504768174695e-07
33,0.0,2.164659775871769e-07
34,0.0,2.162378933689979e-07
35,0.0,2.1602882327442785e-07
36,0.0,2.1580073905624886e-07
37,0.0,2.155916689616788e-07
38,0.0,2.1538259886710875e-07
39,0.0,2.1515451464892976e-07
40,0.0,2.149454445543597e-07
41,0.0,2.1473637445978966e-07
42,0.0,2.1450829024161067e-07
43,0.0,2.1429922014704061e-07
44,0.0,2.1409015005247056e-07
45,0.0,2.138810799579005e-07
46,0.0,2.1365299573972152e-07
47,0.0,2.1344392564515147e-07
48,0.0,2.1323485555058141e-07
49,0.0,2.1302578545601136e-07
50,0.0,2.1279770123783237e-07
51,0.0,2.1258863114326232e-07
52,0.0,2.1237956104869227e-07
53,0.0,2.121704767432675e-07
54,0.0,2.1196140664869745e-07
55,0.0,2.117523365541274e-07
56,0.0,2.1152426654680312e-07
57,0.0,2.1131518224137835e-07
58,0.0,2.111061121468083e-07
59,0.0,2.1089704205223825e-07
60,0.0,2.106879719576682e-07
61,0.0,2.1047890186309814e-07
62,0.0,2.102698317685281e-07
63,0.0,2.1006074746310333e-07
64,0.0,2.0985167736853327e-07
65,0.0,2.0964260727396322e-07
66,0.0,2.0943353717939317e-07
67,0.0,2.0922446708482312e-07
68,0.0,2.0901539699025307e-07
69,0.0,2.088063126848283e-07
