timestamp	run_name	W	H	time_bins	per_class_train	per_class_test	epochs	batch	lr	wd	seed	device	test_acc	cm
2025-09-29 22:35:44	linear_voxT5_lr0.01_wd0_b64_s0	linear	120	100	5	999999	999999	20	64	0.01	0.0	0	cuda	0.773905	[[6415, 2007], [1885, 6907]]
2025-09-29 23:02:24	linear_voxT5_lr0.01_wd0_b64_s1	linear	120	100	5	999999	999999	20	64	0.01	0.0	1	cuda	0.770419	[[6679, 1743], [2209, 6583]]
2025-09-29 23:26:51	linear_voxT5_lr0.01_wd0_b64_s2	linear	120	100	5	999999	999999	20	64	0.01	0.0	2	cuda	0.771756	[[6625, 1797], [2132, 6660]]
2025-09-29 23:53:19	linear_voxT5_lr0.01_wd0_b128_s0	linear	120	100	5	999999	999999	20	128	0.01	0.0	0	cuda	0.766643	[[6512, 1910], [2107, 6685]]
2025-09-30 00:17:06	linear_voxT5_lr0.01_wd0_b128_s1	linear	120	100	5	999999	999999	20	128	0.01	0.0	1	cuda	0.767166	[[6676, 1746], [2262, 6530]]
2025-09-30 00:42:36	linear_voxT5_lr0.01_wd0_b128_s2	linear	120	100	5	999999	999999	20	128	0.01	0.0	2	cuda	0.769199	[[6610, 1812], [2161, 6631]]
2025-09-30 01:08:14	linear_voxT5_lr0.01_wd0.0001_b64_s0	linear	120	100	5	999999	999999	20	64	0.01	0.0001	0	cuda	0.510747	[[0, 8422], [0, 8792]]
2025-09-30 01:33:43	linear_voxT5_lr0.01_wd0.0001_b64_s1	linear	120	100	5	999999	999999	20	64	0.01	0.0001	1	cuda	0.592309	[[1689, 6733], [285, 8507]]
2025-09-30 02:01:05	linear_voxT5_lr0.01_wd0.0001_b64_s2	linear	120	100	5	999999	999999	20	64	0.01	0.0001	2	cuda	0.514988	[[73, 8349], [0, 8792]]
2025-09-30 02:26:29	linear_voxT5_lr0.01_wd0.0001_b128_s0	linear	120	100	5	999999	999999	20	128	0.01	0.0001	0	cuda	0.510747	[[0, 8422], [0, 8792]]
2025-09-30 02:51:41	linear_voxT5_lr0.01_wd0.0001_b128_s1	linear	120	100	5	999999	999999	20	128	0.01	0.0001	1	cuda	0.523934	[[232, 8190], [5, 8787]]
2025-09-30 03:17:05	linear_voxT5_lr0.01_wd0.0001_b128_s2	linear	120	100	5	999999	999999	20	128	0.01	0.0001	2	cuda	0.511328	[[10, 8412], [0, 8792]]
2025-09-30 03:43:33	linear_voxT5_lr0.003_wd0_b64_s0	linear	120	100	5	999999	999999	20	64	0.003	0.0	0	cuda	0.756826	[[6486, 1936], [2250, 6542]]
2025-09-30 04:07:55	linear_voxT5_lr0.003_wd0_b64_s1	linear	120	100	5	999999	999999	20	64	0.003	0.0	1	cuda	0.758685	[[6602, 1820], [2334, 6458]]
2025-09-30 04:34:00	linear_voxT5_lr0.003_wd0_b64_s2	linear	120	100	5	999999	999999	20	64	0.003	0.0	2	cuda	0.757930	[[6574, 1848], [2319, 6473]]
2025-09-30 04:59:05	linear_voxT5_lr0.003_wd0_b128_s0	linear	120	100	5	999999	999999	20	128	0.003	0.0	0	cuda	0.752527	[[6514, 1908], [2352, 6440]]
2025-09-30 05:23:15	linear_voxT5_lr0.003_wd0_b128_s1	linear	120	100	5	999999	999999	20	128	0.003	0.0	1	cuda	0.752701	[[6552, 1870], [2387, 6405]]
2025-09-30 05:46:48	linear_voxT5_lr0.003_wd0_b128_s2	linear	120	100	5	999999	999999	20	128	0.003	0.0	2	cuda	0.753224	[[6578, 1844], [2404, 6388]]
2025-09-30 06:11:55	linear_voxT5_lr0.003_wd0.0001_b64_s0	linear	120	100	5	999999	999999	20	64	0.003	0.0001	0	cuda	0.510805	[[1, 8421], [0, 8792]]
2025-09-30 06:36:13	linear_voxT5_lr0.003_wd0.0001_b64_s1	linear	120	100	5	999999	999999	20	64	0.003	0.0001	1	cuda	0.514930	[[72, 8350], [0, 8792]]
2025-09-30 06:59:27	linear_voxT5_lr0.003_wd0.0001_b64_s2	linear	120	100	5	999999	999999	20	64	0.003	0.0001	2	cuda	0.516382	[[97, 8325], [0, 8792]]
2025-09-30 07:23:23	linear_voxT5_lr0.003_wd0.0001_b128_s0	linear	120	100	5	999999	999999	20	128	0.003	0.0001	0	cuda	0.511270	[[9, 8413], [0, 8792]]
2025-09-30 07:46:19	linear_voxT5_lr0.003_wd0.0001_b128_s1	linear	120	100	5	999999	999999	20	128	0.003	0.0001	1	cuda	0.511793	[[18, 8404], [0, 8792]]
2025-09-30 08:10:39	linear_voxT5_lr0.003_wd0.0001_b128_s2	linear	120	100	5	999999	999999	20	128	0.003	0.0001	2	cuda	0.523702	[[224, 8198], [1, 8791]]
2025-09-30 08:14:10	cnn_hist_lr0.01_wd0_b64_s0	cnn	120	100	1	999999	999999	20	64	0.01	0.0	0	cuda	0.714651	[[3967, 4455], [457, 8335]]
2025-09-30 08:17:36	cnn_hist_lr0.01_wd0_b64_s1	cnn	120	100	1	999999	999999	20	64	0.01	0.0	1	cuda	0.632044	[[2226, 6196], [138, 8654]]
2025-09-30 08:21:02	cnn_hist_lr0.01_wd0_b64_s2	cnn	120	100	1	999999	999999	20	64	0.01	0.0	2	cuda	0.500116	[[8410, 12], [8593, 199]]
2025-09-30 08:24:29	cnn_hist_lr0.01_wd0_b128_s0	cnn	120	100	1	999999	999999	20	128	0.01	0.0	0	cuda	0.577727	[[1219, 7203], [66, 8726]]
2025-09-30 08:27:51	cnn_hist_lr0.01_wd0_b128_s1	cnn	120	100	1	999999	999999	20	128	0.01	0.0	1	cuda	0.782677	[[5564, 2858], [883, 7909]]
2025-09-30 08:31:12	cnn_hist_lr0.01_wd0_b128_s2	cnn	120	100	1	999999	999999	20	128	0.01	0.0	2	cuda	0.764204	[[7824, 598], [3461, 5331]]
2025-09-30 08:34:39	cnn_hist_lr0.01_wd0.0001_b64_s0	cnn	120	100	1	999999	999999	20	64	0.01	0.0001	0	cuda	0.787673	[[6312, 2110], [1545, 7247]]
2025-09-30 08:38:06	cnn_hist_lr0.01_wd0.0001_b64_s1	cnn	120	100	1	999999	999999	20	64	0.01	0.0001	1	cuda	0.783606	[[5800, 2622], [1103, 7689]]
2025-09-30 08:41:32	cnn_hist_lr0.01_wd0.0001_b64_s2	cnn	120	100	1	999999	999999	20	64	0.01	0.0001	2	cuda	0.743058	[[5118, 3304], [1119, 7673]]
2025-09-30 08:44:55	cnn_hist_lr0.01_wd0.0001_b128_s0	cnn	120	100	1	999999	999999	20	128	0.01	0.0001	0	cuda	0.512025	[[22, 8400], [0, 8792]]
