timestamp	run_name	T	n_pos	n_neg	time_s	win_per_s	frames_per_s	events_per_s	W	H
2025-10-02 21:40:34	20251002-214020_bins_T5_all	5	15880	14964	12.1552	2537.52	12687.62	4960173.47	120	100
2025-10-03 16:05:38	20251003-160524_bins_T5_all	5	15880	14964	11.9519	2580.68	12903.38	5044523.26	120	100
2025-10-03 17:02:56	20251003-170242_bins_T5_all	5	15880	14964	12.1122	2546.53	12732.64	4977773.08	120	100
2025-10-04 08:13:09	20251004-081255_bins_T5_all	5	15880	14964	12.0516	2559.33	12796.67	5002807.35	120	100
